========================= Design Variables =========================
         NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                   
    pcentBell 67.8192      60      90 Nozzle Percent Bell           
           Pc 543.721     350     650 Chamber Pressure  (psia)      
 WtPropBurned 110.761      50     200 Burned Propellant Mass  (lbm) 
          PHe   10000    6000   10000 Helium MEOP  (psia)           
          eps 12.1906       5      20 Nozzle Area Ratio             
====================================================================
""
pcentBell,deltaV
60.0,5056.378391163552
61.5,5072.19588340542
63.0,5086.5556827654555
64.5,5099.604820894657
66.0,5111.47293669968
67.5,5122.274646340874
69.0,5132.111548273394
70.5,5141.073925824836
72.0,5149.242198059171
73.5,5156.688160329078
75.0,5163.476048440952
76.5,5169.663454346288
78.0,5175.30211641991
79.5,5180.4386034494255
81.0,5185.114908254707
82.5,5189.368964235067
84.0,5193.235095990063
85.5,5196.744413387042
87.0,5199.9251569825965
88.5,5202.803001488712
90.0,5205.401322961815
