======================== Design Variables =========================
      NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                     
 pcentBell      80      60     100 Nozzle Percent Bell             
       PHe 8541.95    4000    9000 Helium Tank Pressure  (psia)    
        Pc 359.047     150     500 Engine Chamber Pressure  (psia) 
        MR    1.65       1     2.4 Engine Mixture Ratio            
===================================================================
""
Pc,sysMass
150.0,320.3086992053005
170.0,318.81160467629235
190.0,317.68244990533236
210.0,316.8298324474626
230.0,316.20604506183105
250.0,315.77632704035415
270.0,315.4165427356592
290.0,315.1570752006001
310.0,314.980175660816
330.0,314.8728874663354
350.0,314.82411474902926
370.0,314.825757053452
390.0,314.8711371585355
410.0,314.95481071776254
430.0,315.0722851977183
450.0,315.2202269410656
470.0,315.39587850835596
490.0,315.5957268339163
