======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
    pcentACS     5       0      10 % ACS Propellant of Total      
 WtPropAxial   200     100     500 Burned Axial Propellant  (lbm) 
    Wpayload   100      50     150 Payload Mass  (lbm)            
==================================================================
""
Isp vs deltaV,
Isp,massFraction = 0.1,massFraction = 0.3,massFraction = 0.5,massFraction = 0.7,massFraction = 0.9
250.0,766.5985208430765,2326.7008656465264,3952.5251325767654,5688.511612228173,7597.4047526093245
252.0,772.7313090098211,2345.3144725716984,3984.1453336373793,5734.019705125998,7658.183990630198
254.0,778.8640971765657,2363.928079496871,4015.7655346979936,5779.527798023823,7718.963228651073
256.0,784.9968853433103,2382.541686422043,4047.3857357586076,5825.035890921648,7779.742466671948
258.0,791.1296735100549,2401.155293347215,4079.005936819222,5870.543983819474,7840.521704692823
260.0,797.2624616767995,2419.7689002723873,4110.626137879835,5916.052076717299,7901.300942713697
262.0,803.3952498435441,2438.3825071975593,4142.24633894045,5961.560169615125,7962.0801807345715
264.0,809.5280380102887,2456.9961141227313,4173.866540001064,6007.06826251295,8022.859418755445
266.0,815.6608261770333,2475.609721047904,4205.486741061678,6052.576355410776,8083.638656776321
268.0,821.7936143437779,2494.223327973076,4237.106942122292,6098.084448308601,8144.417894797195
270.0,827.9264025105225,2512.8369348982483,4268.727143182907,6143.592541206426,8205.19713281807
272.0,834.0591906772672,2531.4505418234207,4300.347344243521,6189.100634104252,8265.976370838946
274.0,840.1919788440117,2550.0641487485923,4331.967545304135,6234.608727002076,8326.755608859818
276.0,846.3247670107563,2568.6777556737648,4363.587746364748,6280.116819899902,8387.534846880693
278.0,852.4575551775009,2587.291362598937,4395.207947425363,6325.624912797728,8448.314084901569
280.0,858.5903433442456,2605.904969524109,4426.828148485977,6371.133005695554,8509.093322922443
282.0,864.7231315109901,2624.518576449281,4458.448349546591,6416.641098593378,8569.872560943317
284.0,870.8559196777347,2643.1321833744537,4490.068550607205,6462.149191491204,8630.65179896419
286.0,876.9887078444794,2661.7457902996257,4521.688751667819,6507.657284389029,8691.431036985066
288.0,883.121496011224,2680.359397224798,4553.308952728434,6553.165377286855,8752.210275005942
290.0,889.2542841779685,2698.97300414997,4584.929153789047,6598.673470184679,8812.989513026814
292.0,895.3870723447131,2717.586611075142,4616.5493548496615,6644.181563082505,8873.76875104769
294.0,901.5198605114579,2736.2002180003146,4648.169555910275,6689.689655980331,8934.547989068564
296.0,907.6526486782025,2754.813824925487,4679.78975697089,6735.197748878157,8995.32722708944
298.0,913.785436844947,2773.4274318506586,4711.409958031503,6780.705841775981,9056.106465110313
300.0,919.9182250116918,2792.0410387758316,4743.030159092119,6826.213934673808,9116.885703131189
302.0,926.0510131784364,2810.654645701004,4774.650360152733,6871.722027571634,9177.664941152065
304.0,932.1838013451811,2829.2682526261765,4806.270561213348,6917.2301204694595,9238.44417917294
306.0,938.3165895119256,2847.881859551348,4837.890762273961,6962.738213367284,9299.223417193813
308.0,944.4493776786702,2866.4954664765205,4869.5109633345755,7008.2463062651095,9360.002655214688
310.0,950.5821658454149,2885.109073401693,4901.131164395189,7053.7543991629345,9420.781893235562
312.0,956.7149540121595,2903.722680326865,4932.751365455804,7099.26249206076,9481.561131256438
314.0,962.847742178904,2922.336287252037,4964.371566516417,7144.770584958585,9542.340369277312
316.0,968.9805303456486,2940.9498941772094,4995.991767577031,7190.2786778564105,9603.119607298186
318.0,975.1133185123933,2959.5635011023815,5027.611968637646,7235.786770754236,9663.898845319061
320.0,981.2461066791379,2978.177108027554,5059.23216969826,7281.294863652062,9724.678083339935
322.0,987.3788948458824,2996.7907149527255,5090.852370758874,7326.802956549886,9785.45732136081
324.0,993.511683012627,3015.404321877898,5122.472571819488,7372.311049447712,9846.236559381685
326.0,999.6444711793717,3034.0179288030704,5154.0927728801025,7417.819142345537,9907.015797402559
328.0,1005.7772593461164,3052.631535728243,5185.712973940716,7463.327235243363,9967.795035423434
330.0,1011.9100475128608,3071.2451426534144,5217.33317500133,7508.835328141187,10028.574273444308
332.0,1018.0428356796056,3089.858749578587,5248.953376061944,7554.343421039013,10089.353511465182
334.0,1024.1756238463502,3108.4723565037593,5280.573577122559,7599.851513936839,10150.132749486058
336.0,1030.3084120130948,3127.0859634289313,5312.193778183173,7645.359606834665,10210.911987506932
338.0,1036.4412001798394,3145.6995703541033,5343.813979243787,7690.867699732489,10271.691225527806
340.0,1042.573988346584,3164.313177279276,5375.434180304401,7736.375792630315,10332.470463548681
342.0,1048.7067765133286,3182.926784204448,5407.054381365015,7781.883885528141,10393.249701569555
344.0,1054.8395646800732,3201.5403911296203,5438.6745824256295,7827.391978425966,10454.028939590431
346.0,1060.9723528468178,3220.1539980547923,5470.2947834862425,7872.900071323791,10514.808177611303
348.0,1067.1051410135624,3238.7676049799643,5501.914984546857,7918.408164221616,10575.587415632179
350.0,1073.237929180307,3257.3812119051368,5533.535185607471,7963.916257119442,10636.366653653055
,
