======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   300     250     450 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW   900     600    1200 Gross Liftoff Mass  (lbm)      
==================================================================
""
Wpayload,Itot
250.0,71573.1621619886
260.0,71573.16224501535
270.0,71573.16230464121
280.0,71573.16234646674
290.0,71573.1623750114
300.0,71573.16239386999
310.0,71573.16240585246
320.0,71573.16241311091
330.0,71573.16241725223
340.0,71573.16241943942
350.0,71573.16242048096
360.0,71573.16242090952
370.0,71573.16242105082
380.0,71573.16242108287
390.0,71573.16242108632
400.0,71573.16242460119
410.0,71573.162421087
420.0,71573.16242109756
430.0,71573.16242115226
440.0,71573.16242132305
450.0,71573.16242172626
