======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   300     250     450 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW   900     600    1200 Gross Liftoff Mass  (lbm)      
==================================================================
""
deltaVReqmt,Itot
2000.0,50264.97599781947
2100.0,52501.87612815705
2200.0,54714.51397588985
2300.0,56903.152702708656
2400.0,59068.052616716544
2500.0,61209.47120307112
2600.0,63327.66315433283
2700.0,65422.88040052127
2800.0,67495.3721388837
2900.0,69545.38486337758
3000.0,71573.16239386999
3100.0,73578.94590505755
3200.0,75562.97395510881
3300.0,77525.48251403136
3400.0,79466.70499176731
3500.0,81386.87226601854
3600.0,83286.21270980501
3700.0,85164.95221670148
3800.0,87023.3142381444
3900.0,88861.51978964594
4000.0,90679.7874978566
