======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   100      50     150 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW  1000     500    1500 Gross Liftoff Mass  (lbm)      
==================================================================
""
Isp,Itot
250.0,77116.85889993259
252.0,77229.27382300307
254.0,77340.13907064739
256.0,77449.48631410723
258.0,77557.34637199396
260.0,77663.74923862053
262.0,77768.72411121774
264.0,77872.29941608697
266.0,77974.50283373613
268.0,78075.36132304472
270.0,78174.9011445011
272.0,78273.14788255321
274.0,78370.12646711111
276.0,78465.86119423893
278.0,78560.3757460713
280.0,78653.69320998767
282.0,78745.83609707629
284.0,78836.82635991843
286.0,78926.68540972141
288.0,79015.43413282809
290.0,79103.09290662916
292.0,79189.68161490248
294.0,79275.21966260417
296.0,79359.72599013311
298.0,79443.2190870916
300.0,79525.71700556106
302.0,79607.23737291495
304.0,79687.79740418428
306.0,79767.4139139971
308.0,79846.10332810631
310.0,79923.88169452391
312.0,80000.76469427595
314.0,80076.76765179362
316.0,80151.90554495549
318.0,80226.19301479259
320.0,80299.64437487142
322.0,80372.2736203654
324.0,80444.09443682838
326.0,80515.12020868022
328.0,80585.36402741598
330.0,80654.83869954929
332.0,80723.55675429909
334.0,80791.53045103027
336.0,80858.77178645635
338.0,80925.29250161398
340.0,80991.10408861698
342.0,81056.2177971977
344.0,81120.64464104475
346.0,81184.39540394259
348.0,81247.52202825689
350.0,81309.95316782816
