======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   100      50     150 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW  1000     500    1500 Gross Liftoff Mass  (lbm)      
==================================================================
""
Wpayload,Itot
50.0,79525.73600952105
60.0,79525.73601208857
70.0,79525.7044009965
80.0,79525.70923998176
90.0,79525.71341299544
100.0,79525.71700556106
110.0,79525.72009137672
120.0,79525.72273462267
130.0,79525.72499157507
140.0,79525.72691179498
150.0,79525.72853904283
