======================== Design Variables =========================
         NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
     pcentACS     5       0      10 % ACS Propellant of Total      
 massFraction   0.5     0.3     0.9 Stage Propellant Mass Fraction 
  WtPropAxial   200     100     500 Burned Axial Propellant  (lbm) 
     Wpayload   100      50     150 Payload Mass  (lbm)            
===================================================================
""
Isp,deltaV
250.0,3952.5251325767654
252.0,3984.1453336373793
254.0,4015.7655346979936
256.0,4047.3857357586076
258.0,4079.005936819222
260.0,4110.626137879835
262.0,4142.24633894045
264.0,4173.866540001064
266.0,4205.486741061678
268.0,4237.106942122292
270.0,4268.727143182907
272.0,4300.347344243521
274.0,4331.967545304135
276.0,4363.587746364748
278.0,4395.207947425363
280.0,4426.828148485977
282.0,4458.448349546591
284.0,4490.068550607205
286.0,4521.688751667819
288.0,4553.308952728434
290.0,4584.929153789047
292.0,4616.5493548496615
294.0,4648.169555910275
296.0,4679.78975697089
298.0,4711.409958031503
300.0,4743.030159092119
302.0,4774.650360152733
304.0,4806.270561213348
306.0,4837.890762273961
308.0,4869.5109633345755
310.0,4901.131164395189
312.0,4932.751365455804
314.0,4964.371566516417
316.0,4995.991767577031
318.0,5027.611968637646
320.0,5059.23216969826
322.0,5090.852370758874
324.0,5122.472571819488
326.0,5154.0927728801025
328.0,5185.712973940716
330.0,5217.33317500133
332.0,5248.953376061944
334.0,5280.573577122559
336.0,5312.193778183173
338.0,5343.813979243787
340.0,5375.434180304401
342.0,5407.054381365015
344.0,5438.6745824256295
346.0,5470.2947834862425
348.0,5501.914984546857
350.0,5533.535185607471
