======================== Design Variables =========================
         NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
     pcentACS     5       0      10 % ACS Propellant of Total      
 massFraction   0.5     0.3     0.9 Stage Propellant Mass Fraction 
          Isp   300     250     350 Engine Specific Impulse  (sec) 
  WtPropAxial   200     100     500 Burned Axial Propellant  (lbm) 
     Wpayload   100      50     150 Payload Mass  (lbm)            
===================================================================
""
WtPropAxial,deltaV
100.0,3792.1968986344677
125.0,4121.960842472987
150.0,4376.267521055689
175.0,4578.429286617022
200.0,4743.030159092119
225.0,4879.668882678361
250.0,4994.9248606582005
275.0,5093.460484551382
300.0,5178.6727935049375
325.0,5253.095939160764
350.0,5318.659075765573
375.0,5376.856895606869
400.0,5428.865513088134
425.0,5475.62310900055
450.0,5517.88724229376
475.0,5556.276347517475
500.0,5591.300287879236
