=========== Design Variables ===========
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION 
========================================
""
PengInOx vs Fvac,
PengInOx,PengInFuel = 250,PengInFuel = 275,PengInFuel = 300,PengInFuel = 325,PengInFuel = 350
250.0,6951.676572152784,7003.048529471959,7055.31345100608,7109.524031251516,7166.664077780343
255.0,7038.578986630907,7090.557566614128,7142.711101557922,7196.242268394368,7252.43352739678
260.0,7124.208264525077,7177.18687519547,7229.324121199181,7282.40025359782,7337.699607381277
265.0,7208.488578043113,7262.91494285,7315.138882148552,7367.959230765577,7422.461126300532
270.0,7291.316143706708,7347.709605183812,7400.1613023375885,7452.871477270888,7506.712179597206
275.0,7372.592339284127,7431.526547730465,7484.391746955709,7537.088304685594,7590.441648945641
280.0,7452.209749553409,7514.317551127458,7567.829391170245,7620.582209916201,7673.628879885826
285.0,7530.047484971283,7596.019371099885,7650.4653349958,7703.347315396857,7756.242769806897
290.0,7605.962020575015,7676.5888263871875,7732.284451104792,7785.3732057256175,7838.245653697011
295.0,7679.775947581976,7755.955579226195,7813.263326525322,7866.678188342539,7919.60234896915
300.0,7751.2057280744275,7834.054154240018,7893.373414005368,7947.260533860205,8000.290155539087
305.0,7819.8183158216725,7910.817107099122,7972.582020026111,8027.118011364553,8080.302971588797
310.0,7884.684088089823,7986.169612360714,8050.842939415164,8106.245993559484,8159.637055566593
315.0,7939.176294967939,8060.0291393098305,8128.134565298869,8184.631136119892,8238.313020672984
320.0,7970.5838524494475,8132.296468862791,8204.405605904834,8262.259176171847,8316.320449172044
325.0,7999.3527358988395,8202.85846747487,8279.612292175008,8339.109601551729,8393.666203383085
330.0,8026.645174233754,8271.529611937416,8353.708652344047,8415.159793545916,8470.34953257142
335.0,8052.810042201847,8338.070134868345,8426.646197535234,8490.375039482213,8546.366248988508
340.0,8078.028999803393,8402.058189676838,8498.372902248626,8564.74730347821,8621.707199369748
345.0,8102.414219123172,8462.558754729953,8568.82833645974,8638.237505530458,8696.362172797775
350.0,8126.046408038738,8511.60935920543,8637.944039757765,8710.815171553955,8770.316741014707
,
