===================== Design Variables =====================
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION                     
   Pc  2000     500    3000 Engine Chamber Pressure  (psia) 
 Diam    78      56      84 Stage Diameter  (in)            
  eps   100      50     200 Engine Area Ratio               
============================================================
""
Diam,sysMassK
56.0,36.44350303379159
57.0,36.0713255075404
58.0,35.8296018467577
59.0,35.593341499074796
60.0,35.3649866611483
61.0,35.1442149813636
62.0,34.930776932309
63.0,34.724432396126495
64.0,34.5249515797969
65.0,34.3321145177094
66.0,34.145710631950195
67.0,33.965538310637506
68.0,33.7914045218558
69.0,33.6231244272252
70.0,33.460521032645495
71.0,33.303424851199594
72.0,33.151673583199894
73.0,33.005111812479505
74.0,32.8635907204455
75.0,32.7269678117841
76.0,32.595106657209996
77.0,32.467876647569696
78.0,32.3451527604777
79.0,32.2268153390177
80.0,32.1127498832321
81.0,32.0028468485412
82.0,31.897001459347297
83.0,31.795113527367498
84.0,31.697087283006102
