============================== Design Variables ===============================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                                 
     ItotACS  6518    4000    8000 Total Impulse of ACS Engines  (lbf-sec)     
     mrAxial  1.75     1.5     1.9 Divert Engine Mixture Ratio                 
 ItotDescent 46067   20000   50000 Total Impulse of Descent Engines  (lbf-sec) 
   LengLimit    13      10      15 Engine Length Limit  (in)                   
     PmaxGas  4500    4000    6000 Helium Max Bottle Pressure  (psia)          
===============================================================================
""
PcAxial,PfinalHe,Ptank,PengineIn,PcFace
150.0,320.0,400.0,225.0,157.2067466038886
170.0,320.0,400.0,255.0,178.16764615107374
190.0,320.0,400.0,285.0,199.12854569825888
210.0,342.80239147679623,428.5029893459953,315.0,220.08944524544404
230.0,367.1276954570247,458.90961932128084,345.0,241.05034479262918
250.0,391.5153727343166,489.39421591789574,375.0,262.0112443398143
270.0,415.9519764100629,519.9399705125786,405.0,282.97214388699945
290.0,440.42783950676034,550.5347993834504,435.0,303.9330434341846
310.0,464.9357962280193,581.1697452850241,465.0,324.8939429813698
330.0,489.470388813211,611.8379860165137,495.0,345.8548425285549
350.0,514.0277119388758,642.5346399235947,525.0,366.81574207574005
370.0,538.6630877788356,673.3288597235445,555.0,387.7766416229252
390.0,563.4062531520907,704.2578164401133,585.0,408.7375411701103
