========================= Design Variables =========================
         NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                   
    pcentBell 67.8192      60      90 Nozzle Percent Bell           
           Pc 543.721     350     650 Chamber Pressure  (psia)      
 WtPropBurned 110.761      50     200 Burned Propellant Mass  (lbm) 
          PHe   10000    6000   10000 Helium MEOP  (psia)           
          eps 12.1906       5      20 Nozzle Area Ratio             
====================================================================
""
Pc,deltaV
350.0,5059.883328101981
375.0,5078.122166017035
400.0,5092.4619011551185
425.0,5103.537366091814
450.0,5111.850090533264
475.0,5117.801609891749
500.0,5121.717274047081
525.0,5123.863548274181
550.0,5124.460818977312
575.0,5123.692967029236
600.0,5121.714670455655
625.0,5118.657007999928
650.0,5114.631819489741
