========================= Design Variables =========================
         NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                   
    pcentBell 67.8192      60      90 Nozzle Percent Bell           
           Pc 543.721     350     650 Chamber Pressure  (psia)      
 WtPropBurned 110.761      50     200 Burned Propellant Mass  (lbm) 
          PHe   10000    6000   10000 Helium MEOP  (psia)           
          eps 12.1906       5      20 Nozzle Area Ratio             
====================================================================
""
WtPropBurned,deltaV
50.0,2874.0079904706176
60.0,3307.601739502211
70.0,3715.1485114815823
80.0,4095.9935600184513
90.0,4452.296261297222
100.0,4786.64466496562
110.0,5101.246725465249
120.0,5398.00123788651
130.0,5678.552866026105
140.0,5944.335398882619
150.0,6196.606154050909
160.0,6436.473628173982
170.0,6664.919931420272
180.0,6882.819147508744
190.0,7090.95247831374
200.0,7290.020827196961
