========================= Design Variables =========================
         NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                   
    pcentBell 67.8192      60      90 Nozzle Percent Bell           
           Pc 543.721     350     650 Chamber Pressure  (psia)      
 WtPropBurned 110.761      50     200 Burned Propellant Mass  (lbm) 
          PHe   10000    6000   10000 Helium MEOP  (psia)           
          eps 12.1906       5      20 Nozzle Area Ratio             
====================================================================
""
eps,deltaV
5.0,4755.336290200038
6.0,4845.665834829681
7.0,4916.856910373865
8.0,4972.262493645804
9.0,5018.656093449544
10.0,5058.040905840339
11.0,5090.731666962427
12.0,5119.38224836745
13.0,5144.686258715424
14.0,5167.1609605399735
15.0,5186.382502586537
16.0,5203.800475874417
17.0,5219.662053420247
18.0,5234.166145304705
19.0,5247.474945737387
20.0,5259.722263343422
