========================= Design Variables =========================
         NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                   
    pcentBell 67.8192      60      90 Nozzle Percent Bell           
 WtPropBurned 110.761      50     200 Burned Propellant Mass  (lbm) 
          PHe   10000    6000   10000 Helium MEOP  (psia)           
====================================================================
""
Pc vs deltaV,
Pc,eps = 5,eps = 10,eps = 15,eps = 20
350.0,4692.733158824169,4994.716203855603,5119.9513408806415,5189.538603870956
375.0,4710.236314215479,5012.671009741002,5138.57807461532,5208.89013253287
400.0,4724.026159645267,5026.774173176819,5153.249848504377,5224.19544297179
425.0,4734.709577804651,5037.653638232625,5164.609475322142,5236.110170785798
450.0,4742.765848782057,5045.805387929231,5173.164947485103,5245.1527579126805
475.0,4748.578547516798,5051.626434422615,5179.32309596886,5251.738642761331
500.0,4752.458339011437,5055.438396958379,5183.413655859814,5256.201550087591
525.0,4754.659545466662,5057.504632719212,5185.70675823428,5258.827114602263
550.0,4755.392409399738,5058.042914830965,5186.42588052706,5259.834392852578
575.0,4754.832260834788,5057.234908956031,5185.7575300999715,5259.417385870979
600.0,4753.126509745373,5055.233401074544,5183.858632886167,5257.736728611301
625.0,4750.400010774861,5052.167842825952,5180.86220409427,5254.928637802929
650.0,4746.759237061617,5048.148665956431,5176.881761786955,5251.109410136346
,
