=============== Design Variables ================
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION          
   OR     6       5      15 Outside Radius  (in) 
=================================================
""
pcentBurned vs SA,
pcentBurned,web = 1,web = 1.5,web = 2,web = 2.5
0.0,823.0972752405257,777.5441817634737,728.849495632832,677.0132168486005
5.0,824.3067884121579,780.265586399646,733.6875483193602,684.572674171301
10.0,825.4220538041823,782.7749335317009,738.1486098874578,691.5430828714532
15.0,826.4430714165991,785.0722231596384,742.2326803371245,697.9244429490575
20.0,827.369841249408,787.1574552834586,745.9397596683605,703.7167544041137
25.0,828.2023633026092,789.0306299031614,749.2698478811656,708.9200172366218
30.0,828.9406375762028,790.6917470187472,752.22294497554,713.5342314465819
35.0,829.5846640701888,792.1408066302154,754.7990509514837,717.5593970339937
40.0,830.1344427845669,793.3778087375663,756.9981658089965,720.9955139988576
45.0,830.5899737193375,794.4027533407999,758.8202895480787,723.8425823411733
50.0,830.9512568745002,795.2156404399165,760.26542216873,726.1006020609409
55.0,831.2182922500554,795.8164700349155,761.3335636709504,727.7695731581605
60.0,831.3910798460029,796.2052421257972,762.0247140547403,728.849495632832
65.0,831.4696196623426,796.3819567125615,762.3388733200991,729.3403694849553
70.0,831.4539116990748,796.3466137952087,762.2760414670274,729.2421947145308
75.0,831.343955956199,796.0992133737385,761.8362184955248,728.5549713215579
80.0,831.1397524337156,795.6397554481512,761.0194044055916,727.2786993060371
85.0,830.8413011316245,794.9682400184461,759.8255991972275,725.4133786679681
90.0,830.448602049926,794.0846670846239,758.2548028704324,722.9590094073511
95.0,829.9616551886195,792.9890366466846,756.3070154252068,719.9155915241861
100.0,829.3804605477054,791.6813487046279,753.9822368615503,716.2831250184728
,
