======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   300     250     450 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW   900     600    1200 Gross Liftoff Mass  (lbm)      
==================================================================
""
GLOW,Itot
600.0,47715.441614484174
650.0,51691.7284152317
700.0,55668.01521640013
750.0,59644.30201742463
800.0,63620.588816912306
850.0,67596.87561108309
900.0,71573.16239386999
950.0,75549.44915764825
1000.0,79525.73589404579
1050.0,83502.02259461523
1100.0,87478.309251313
1150.0,91454.59585680199
1200.0,95430.88240461578
