======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   300     250     450 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW   900     600    1200 Gross Liftoff Mass  (lbm)      
==================================================================
""
Isp,Itot
250.0,69405.17725817084
252.0,69506.35102357792
254.0,69606.13009614912
256.0,69704.54298006822
258.0,69801.6174121335
260.0,69897.3803872574
262.0,69991.85818296153
264.0,70085.07638291507
266.0,70177.05989955769
268.0,70267.83299584892
270.0,70357.41930618232
272.0,70445.84185650185
274.0,70533.12308365498
276.0,70619.28485401609
278.0,70704.34848141197
280.0,70788.33474437927
282.0,70871.26390278287
284.0,70953.15571382233
286.0,71034.02944745209
288.0,71113.9039012409
290.0,71192.79741469305
292.0,71270.72788305467
294.0,71347.71277062621
296.0,71423.76912360078
298.0,71498.91358244946
300.0,71573.16239386999
302.0,71646.53142231824
304.0,71719.03616113855
306.0,71790.69174330885
308.0,71861.51295181662
310.0,71931.51422967965
312.0,72000.7096896261
314.0,72069.11312344696
316.0,72136.73801103397
318.0,72203.59752911486
320.0,72269.70455969799
322.0,72335.07169823731
324.0,72399.71126152841
326.0,72463.63529534602
328.0,72526.85558183251
330.0,72589.38364664685
332.0,72651.23076588316
334.0,72712.40797276718
336.0,72772.92606413925
338.0,72832.79560673123
340.0,72892.02694324525
342.0,72950.63019824131
344.0,73008.61528384099
346.0,73065.99190525373
348.0,73122.76956613165
350.0,73178.95757376
