====================== Design Variables =======================
     NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 pcentACS     5       0      10 % ACS Propellant of Total      
      Isp   300     250     350 Engine Specific Impulse  (sec) 
 Wpayload   100      50     150 Payload Mass  (lbm)            
===============================================================
""
WtPropAxial vs deltaV,
WtPropAxial,massFraction = 0.1,massFraction = 0.3,massFraction = 0.5,massFraction = 0.7,massFraction = 0.9
100.0,877.9429168350315,2436.3890914737117,3792.1968986344677,4994.9248606582005,6077.987825711795
125.0,894.2644493694045,2567.1186580908666,4121.960842472987,5591.300287879236,6999.619723678302
150.0,905.4871214972152,2662.411555796827,4376.267521055689,6077.987825711795,7797.202810201947
175.0,913.677477092101,2734.960258629324,4578.429286617022,6483.232919368001,8496.705734778272
200.0,919.9182250116918,2792.0410387758316,4743.030159092119,6826.213934673808,9116.885703131189
225.0,924.831445515794,2838.1249912252915,4879.668882678361,7120.450622902102,9671.720472530498
250.0,928.8000038016306,2876.111215101601,4994.9248606582005,7375.768926841031,10171.895672180251
275.0,932.0724503786591,2907.9619505123674,5093.460484551382,7599.493518619097,10625.756066162343
300.0,934.8171713820914,2935.0527679104894,5178.6727935049375,7797.202810201947,11039.93698681906
325.0,937.1522961173139,2958.376592259033,5253.095939160764,7973.224111033235,11419.796804111882
350.0,939.1631448768245,2978.6681140147125,5318.659075765573,8130.96823463989,11769.72116168076
375.0,940.9128798022966,2996.48262016148,5376.856895606869,8273.161514116537,12093.342016811432
400.0,942.449259573633,3012.247607466112,5428.865513088134,8402.010332085934,12393.698565111164
425.0,943.809065168264,3026.297545642289,5475.62310900055,8519.320119699205,12673.357595793981
450.0,945.0210825986327,3038.897877419393,5517.88724229376,8626.582944243803,12934.504941635523
475.0,946.1081632510989,3050.2619527020947,5556.276347517475,8725.042992896193,13179.015956149331
500.0,947.0886783038692,3060.5632104056212,5591.300287879236,8815.746224229375,13408.51052354702
,
