=============== Design Variables ================
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION          
   OR     6       5      15 Outside Radius  (in) 
=================================================
""
pcentBurned vs SA,
pcentBurned,web = 1,web = 2,web = 3,web = 4,web = 5
0.0,823.0972752405257,728.849495632832,622.035345410779,502.6548245743669,370.7079331235956
5.0,824.3067884121579,733.6875483193602,632.9209639554676,522.0070353204801,400.94576241439734
10.0,825.4220538041823,738.1486098874578,642.958352483687,539.85128159287,428.8273972150067
15.0,826.4430714165991,742.2326803371245,652.1475109954373,556.187563391537,454.35283752542387
20.0,827.369841249408,745.9397596683605,660.4884394907181,571.0158807164808,477.5220833456485
25.0,828.2023633026092,749.2698478811656,667.9811379695298,584.3362335677016,498.33513467568093
30.0,828.9406375762028,752.22294497554,674.6256064318721,596.1486219451992,516.791991515521
35.0,829.5846640701888,754.7990509514837,680.4218448777453,606.4530458489736,532.8926538651687
40.0,830.1344427845669,756.9981658089965,685.3698533071492,615.2495052790251,546.637121724624
45.0,830.5899737193375,758.8202895480787,689.469631720084,622.5380002353534,558.025395093887
50.0,830.9512568745002,760.26542216873,692.7211801165495,628.3185307179587,567.0574739729577
55.0,831.2182922500554,761.3335636709504,695.1244984965456,632.5910967268408,573.7333583618359
60.0,831.3910798460029,762.0247140547403,696.6795868600725,635.3556982619998,578.0530482605219
65.0,831.4696196623426,762.3388733200991,697.3864452071304,636.6123353234357,580.0165436690156
70.0,831.4539116990748,762.2760414670274,697.2450735377187,636.3610079111485,579.6238445873169
75.0,831.343955956199,761.8362184955248,696.2554718518379,634.6017160251382,576.8749510154257
80.0,831.1397524337156,761.0194044055916,694.4176401494879,631.3344596654049,571.7698629533423
85.0,830.8413011316245,759.8255991972275,691.7315784306685,626.5592388319484,564.3085804010666
90.0,830.448602049926,758.2548028704324,688.1972866953802,620.2760535247688,554.4911033585985
95.0,829.9616551886195,756.3070154252068,683.8147649436222,612.484903743866,542.317431825938
100.0,829.3804605477054,753.9822368615503,678.5840131753953,603.1857894892403,527.7875658030853
,
