======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   100      50     150 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW  1000     500    1500 Gross Liftoff Mass  (lbm)      
==================================================================
""
GLOW,Itot
500.0,39762.86674416358
600.0,47715.438421869156
700.0,55668.00918338559
800.0,63620.57912651397
900.0,71573.1483652501
1000.0,79525.71700556106
1100.0,87478.28513863316
1200.0,95430.85284058155
1300.0,103383.42017423727
1400.0,111335.9871913546
1500.0,119288.60402033503
