======================== Design Variables ========================
        NAME VALUE MINIMUM MAXIMUM DESCRIPTION                    
 deltaVReqmt  3000    2000    4000 Delta V Requirement  (ft/sec)  
         Isp   300     250     350 Engine Specific Impulse  (sec) 
    Wpayload   100      50     150 Payload Mass  (lbm)            
    pcentACS     5       0      10 % ACS Propellant of Total      
        GLOW  1000     500    1500 Gross Liftoff Mass  (lbm)      
==================================================================
""
deltaVReqmt,Itot
2000.0,55849.97496319505
2100.0,58335.419182182915
2200.0,60793.905372038964
2300.0,63225.72592931977
2400.0,65631.17007915163
2500.0,68010.52390962704
2600.0,70364.03539506836
2700.0,72692.05906143147
2800.0,74994.83179337658
2900.0,77272.62747006238
3000.0,79525.71700556106
3100.0,81754.3683802075
3200.0,83958.84667165669
3300.0,86139.41408565374
3400.0,88296.32998651789
3500.0,90429.85092734314
3600.0,92540.23067991911
3700.0,94627.72026437313
3800.0,96692.567978538
3900.0,98735.01942704711
4000.0,100755.31755015953
