========================= Design Variables =========================
         NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                   
    pcentBell 67.8192      60      90 Nozzle Percent Bell           
           Pc 543.721     350     650 Chamber Pressure  (psia)      
 WtPropBurned 110.761      50     200 Burned Propellant Mass  (lbm) 
          PHe   10000    6000   10000 Helium MEOP  (psia)           
          eps 12.1906       5      20 Nozzle Area Ratio             
====================================================================
""
PHe,deltaV
6000.0,5124.8828629013
6200.0,5127.657334652623
6400.0,5130.114383964865
6600.0,5132.288200105931
6800.0,5134.2083028632
7000.0,5135.900314060566
7200.0,5137.386581065496
7400.0,5138.389440457003
7600.0,5138.022717483696
7800.0,5137.503205030471
8000.0,5136.843128096326
8200.0,5136.053451526329
8400.0,5135.144058311392
8600.0,5134.123649592197
8800.0,5133.000077348676
9000.0,5131.78046478073
9200.0,5130.471212588756
9400.0,5129.078135867403
9600.0,5127.606407520692
9800.0,5126.060847509466
10000.0,5124.445846796969
